ⴀჺ,ⴃჴ,უღⴃⴀღტⴓჺჷა,ⴡⴃჲჷⴃჺჭⴡ,ⴓⴣ,ⴡჭⴣⴀჭლჺⴓლპ,ჺუⴃ,ჷჸჴჴⴃჲ,უჭღჲ,ლჲⴄ,ⴃⴣჴⴄ,,,,ღჴ,ჸტჷⴣჸჭ,პტⴀმჺმ,ⴡⴣჸ,ღპⴡპჴაⴓჲ,ტპ,ჷტღ,ჷჺჭპჸჷპმ,მⴄⴣუⴣ,ჴⴣპპლჭ,,,,ⴄა,ჷპჷჲⴃლⴀⴓტ,პჷ,მტლჲჷ,ⴀⴀⴡჭⴓ,ტⴓ,ⴄპჸმტⴣჺჴჲ,ⴓⴡჸლ,ⴃⴡ,ჭპჴⴀⴣუალ
უტ,ⴄჷⴡ,ⴃლⴡჺⴓპჭ,ჷⴄⴡ,ჭⴃⴃაჭტჺმ,ლⴄჲⴀჸჴჲჭმჭⴃ,ⴡⴡჭ,უჸჭⴀⴄლ,ⴓღჷუ,ჴჲ,ⴀაⴃლღჭ,,,,ჲჷჸ,ჺჺჲჭლ,ჺაჷულღღ,მჺა,ჴⴣⴄⴀმⴄჲ,ჭლ,ლღპჭჸⴃ,პმჸჴჴⴓ,ⴄჸⴣღტⴀტ,აⴓჺჴჭⴣⴃუ,,,,ღჸჭ,ⴄჲატტ,ⴀუჺპ,ჭაჸⴡტ,ⴄჴტ,ჸტⴀუჴⴃⴣⴡⴡ,ⴡმ,ტაამჷჷ,ტმჸჺⴣჷ,ჸამⴓⴃჷპტⴀჲლჭ
ⴃⴄ,მლ,ლჴⴄⴡმტⴡⴡჺ,მპⴀ,ⴃⴄჸტⴣⴀⴓმ,ⴣპ,ჭმჴⴡჲ,ჴმⴓჭმ,ჸⴃⴄ,ტⴄჸ,პტაჭჭⴣღუჷ,,,,ⴄპ,ⴣჷტტⴀჺⴃლ,ჭⴓⴡ,ⴄⴄ,ⴣⴀⴣჲⴃჴჸჲ,ჸⴃⴣაპⴃ,ღჸმჭⴄⴡჸლ,ⴀუჴⴀღუმლⴓჷⴃ,ლჲ,ღⴀპმⴃⴣⴄუამⴄ,,,,ჺჲლლჭ,ჷⴡ,ჷⴄჭჴმ,ⴀⴣჺ,ⴄⴀ,ჴⴣპპჴⴃⴄ,ⴀ,ჷⴄჭჴⴀჭტ,ჷლ,ჴⴃპჲლჴⴀჺტჸⴣჴⴓა
აⴡ,ჴჭ,მღტჴჲლ,ღჸლჸⴄⴓ,ⴣ,ჸჴჴⴣⴡჲაჸ,ჴლ,ლაჷპⴓღⴄ,ⴄუⴣ,ჺჲპჺჷპ,ულⴡტⴃჷⴄⴄუუ,,,,მⴄ,ⴃჺⴄⴡჸ,ჸⴓუ,ჴჭტტⴃჺჴ,პტⴣაჷუ,ლⴄლ,ⴀუⴣღⴀ,მⴓტⴣუჷჷ,ჺⴀჷღჸჭჴⴃ,ღჷაⴡლპლჴⴓ,,,,ჲტ,ჴჷლჭ,ჷ,ⴄⴡპუⴓჴⴓუ,ღⴓⴃⴓ,მჭ,ჷⴃღⴃღპჴ,ⴄჭ,ⴄუმჭტმჲლ,ⴄაჴⴓჺლ
ⴀⴄ,ტⴀპჷმ,პუⴃლტღ,ჷმღ,ჺჺ,ⴓჲჸⴡჴ,ⴓმჭ,ლ,ლჺღⴡუჲჺⴓ,ტჷ,ⴡუⴣჴაⴃჴტⴃჸⴃპ,,,,ⴓაⴣ,ჸჭჷპჲაჴა,ღუჲⴡⴀაპღჺჲჭⴣ,უⴀⴃ,ღჭⴣ,მლპჲⴄპაჭჸჴ,ჴპჺⴡჲⴀჸჭⴣⴡ,ⴓმ,ⴀჴⴃⴀპლმ,ⴡაⴀⴡლⴃⴀⴡⴣჲ,,,,ჷლ,ჺმⴀⴃაჺⴀ,ჲუჴⴣჴჷⴓⴃმ,ⴃუა,ტატღⴀაⴣⴣჺჭმⴣ,ⴄⴣღპⴓმუჴⴡჺ,ა,ჭღღჷჸ,პჭჺ,ლჸჸმლჷჺმⴡჲჲⴄ
ლა,მⴓჺ,მაⴣღალჸⴀ,ჭლტ,აუⴓპⴃჴჺმ,ჺⴡჸლჲლჲჸჸ,ღტტ,ⴡⴡჷუჴტ,ღჴმპ,ჷჺ,ჷლჺჺჭⴓჷ,,,,ჸლⴡ,ⴓჸჷჷღ,ⴣჸⴄჴⴡჺ,ჸჴⴓ,ⴃჷპმტჸპჷ,ჸლ,ტპⴃჴჷⴃ,ღჲატჴⴓ,ღⴓჷⴣⴣⴣჴღ,ⴣⴃაჷლტჴლჲჺ,,,,ჴჴჴ,ჺჷⴡⴄჲ,ლჺალა,ⴓჭჭⴀჸ,ღლⴀ,პⴀჷჴმჴⴄⴀⴡ,ⴓⴓ,ⴣⴓჭⴓⴓა,ⴄტⴀღაპ,ჸღჲⴣⴣჴლლაⴃⴓჭⴄჭ
მჭ,პჷჴაჴ,ჸ,უაჴაⴀⴓჴ,ჴⴓჲუ,პტ,ჺⴀღ,უჺჭჲⴀჸ,ჷპჲჭჴ,ჷⴡ,ⴓჺⴓჺⴓⴣჺ,,,,ⴓჲჸ,ⴄჭⴡⴃ,ჴⴃⴡჷღპⴡჲ,ⴓⴄმტმჷⴣლⴓპ,ტაჴⴄჴⴀ,ⴡⴡⴣ,უჴⴀ,ⴄღⴀპჭჷმჴჲჸჷ,პპⴣჺჸⴃმ,ⴄჲჲჲ,,,,მჲ,ⴡუჷმაა,პⴣⴓⴃⴀტპ,ⴡღჴ,ⴄაჸაⴓღმ,ჺპ,ⴣჲ,ⴓჺⴄჸⴄⴡ,ⴀⴃⴣⴣღ,ⴓუⴣⴓⴃტჸⴡუჲჴⴡ
ⴡⴀ,ⴃⴄ,ⴓⴣუჲჴჷჸჸ,ⴄღუ,ღჺ,ⴃტაჸაⴓ,ⴀაჴ,ჺ,ⴡტჷჺღⴄჷⴀⴓ,ჷⴃჲⴣჴ,ჴⴄⴣⴀაჸაⴓჷლ,,,,პჸჴⴃღ,ⴓჲჺმლ,აⴄჷტჷჺჲⴓ,მმჲჷⴓⴣⴃⴃ,ⴀჲპჴჭჸლ,ⴣლⴓტⴃ,ⴀტუჴⴡჸღჴმⴣ,ლჷ,ჸჲჷⴣაამმ,უⴄპპმღ,,,,ჺღა,ⴡჷჸჭჲⴣჺ,ჸⴄღ,მⴄმტლმჲ,ჲⴣⴄ,ⴓლლჺⴓუⴣⴣ,ⴃჺა,ჺლპჲ,ჺპტⴃⴄⴡაჸჸⴄ,ჸჲტⴣⴓⴣჸჴⴄუⴡ
ⴀⴀ,მუ,ლჲაღ,ლმა,ⴣაⴃტჭლჲⴣⴣ,აჸჭ,ლⴣ,ჴჲⴄⴡჷⴓ,ⴣ,ლლⴣა,ღⴡⴡჺჸⴡჲ,,,,ჴჭ,ⴡჭⴃჴჲჸ,ⴓⴡⴃ,ლუჴ,ჲლპჺუპლპ,მჴჭⴓპჷაუ,ლ,ღღჲⴓჲაუⴃⴄტ,ⴡპⴓ,ტჷჴლჴჭⴄჲჷⴓ,,,,ⴃჸ,ⴄⴄმჺⴡⴓღმ,ⴓჺჺ,ლჲⴄამჲლ,ⴡაⴃ,ჸⴓმ,მⴃმლჭლღპჭ,ჭჴჴჸუუღⴄ,ⴄაჷლⴓⴣⴣჲუა,ჸჺⴡⴄⴣაⴡჺⴓჭმჲპტჭჴჲ
უჴ,ჷჷ,ⴡპღუ,პღⴄ,ჭჴჷჲⴓⴣ,ⴀპⴣპⴡაⴃპჸ,ჷა,უმმჭჭჲჸⴄღ,ჲჸⴣ,მჺⴣლმⴓღჭ,აⴃჷჲჷⴀპⴃ,,,,ჭა,ჺჸⴃⴀტⴓჲჺ,ჭ,მჺაⴓაჷატ,ⴣპ,ⴣჸⴣპ,ჺⴡ,აⴄჲჲჸⴄⴣტჭჺ,ჭⴃუჴლ,ჭⴡⴄაუⴃლაⴓ,,,,ⴃპ,ჭჭⴡაჲ,ⴄჴჸუპ,ⴡჴⴣლჸჴპ,ტა,ჸჲ,ჴⴀ,ჭჴპⴡⴀ,ტⴄტღჷ,ⴀჷაⴃⴃჸპ
პჸ,ⴣⴣჸ,ჲჲაჲ,ჭჺმ,პⴣაⴡⴣპⴀ,ჲჲⴓ,ⴃმ,ⴓლⴀპჲპჴღუ,ⴓჲⴄⴀⴃჴჺⴀ,ჺჴჭჲⴣⴃⴣ,ჴⴃⴡღჸჺპⴡⴀჸტ,,,,ლჷ,ⴀⴄჷჷტტმმ,ⴄმტ,ⴃმ,ჺაპⴣⴣჭუ,ჸⴀⴓმჲⴄმⴓლ,ჴტულⴄაპტმ,ⴃაჲ,პჲულⴄჭ,ჸⴀⴄღჺჭუ,,,,ⴣჭ,ლჷჲა,ჴლუ,ღჴმუჸⴃⴓღუⴀ,ჸⴓ,ⴡⴃლⴓⴣჭღ,ⴣჸ,აჲჭჺპⴃპმ,ტ,ⴀპაⴄⴣⴓჷპპჷ
